Time,Healthy,Infected,Recovered,Dead
0,98,2,0,0
1,98,2,0,0
2,98,2,0,0
3,98,2,0,0
4,98,2,0,0
5,98,2,0,0
6,98,2,0,0
7,98,2,0,0
8,98,2,0,0
9,98,2,0,0
10,98,2,0,0
11,98,2,0,0
12,98,2,0,0
13,98,2,0,0
14,98,2,0,0
15,98,2,0,0
16,98,2,0,0
17,98,2,0,0
18,98,2,0,0
19,98,2,0,0
20,98,2,0,0
21,98,2,0,0
22,98,2,0,0
23,98,2,0,0
24,98,2,0,0
25,98,2,0,0
26,98,2,0,0
27,98,2,0,0
28,98,2,0,0
29,98,2,0,0
30,98,2,0,0
31,98,2,0,0
32,98,2,0,0
33,98,2,0,0
34,98,2,0,0
35,98,2,0,0
36,98,2,0,0
37,98,2,0,0
38,98,2,0,0
39,98,2,0,0
40,98,2,0,0
41,98,2,0,0
42,98,2,0,0
43,98,2,0,0
44,98,2,0,0
45,98,2,0,0
46,98,2,0,0
47,98,2,0,0
48,98,2,0,0
49,98,2,0,0
50,98,2,0,0
51,98,2,0,0
52,98,2,0,0
53,98,2,0,0
54,98,2,0,0
55,98,2,0,0
56,98,2,0,0
57,98,2,0,0
58,98,2,0,0
59,98,2,0,0
60,98,2,0,0
61,98,2,0,0
62,98,2,0,0
63,98,2,0,0
64,98,2,0,0
65,98,2,0,0
66,98,2,0,0
67,98,2,0,0
68,98,2,0,0
69,98,2,0,0
70,98,2,0,0
71,98,2,0,0
72,98,2,0,0
73,98,2,0,0
74,98,2,0,0
75,98,2,0,0
76,98,2,0,0
77,98,2,0,0
78,98,2,0,0
79,98,2,0,0
80,98,2,0,0
81,98,2,0,0
82,98,2,0,0
83,98,2,0,0
84,98,2,0,0
85,98,2,0,0
86,98,2,0,0
87,98,2,0,0
88,98,2,0,0
89,98,2,0,0
90,98,2,0,0
91,98,2,0,0
92,98,2,0,0
93,98,2,0,0
94,98,2,0,0
95,98,2,0,0
96,98,2,0,0
97,98,2,0,0
98,98,2,0,0
99,98,2,0,0
100,98,2,0,0
101,98,2,0,0
102,98,2,0,0
103,98,2,0,0
104,98,2,0,0
105,98,2,0,0
106,98,2,0,0
107,98,2,0,0
108,97,3,0,0
109,97,3,0,0
110,97,3,0,0
111,97,3,0,0
112,97,3,0,0
113,97,3,0,0
114,97,3,0,0
115,97,3,0,0
116,97,3,0,0
117,97,3,0,0
118,97,3,0,0
119,97,3,0,0
120,97,3,0,0
121,97,3,0,0
122,97,3,0,0
123,97,3,0,0
124,97,3,0,0
125,97,3,0,0
126,97,3,0,0
127,97,3,0,0
128,97,3,0,0
129,97,3,0,0
130,97,1,1,1
131,97,1,1,1
132,97,1,1,1
133,97,1,1,1
134,97,1,1,1
135,97,1,1,1
136,97,1,1,1
137,97,1,1,1
138,97,1,1,1
139,97,1,1,1
140,97,1,1,1
141,97,1,1,1
142,97,1,1,1
143,97,1,1,1
144,97,1,1,1
145,97,1,1,1
146,97,1,1,1
147,97,1,1,1
148,97,0,2,1
149,97,0,2,1
150,97,0,2,1
151,97,0,2,1
152,97,0,2,1
153,97,0,2,1
154,97,0,2,1
155,97,0,2,1
156,97,0,2,1
157,97,0,2,1
158,97,0,2,1
159,97,0,2,1
160,97,0,2,1
161,97,0,2,1
162,97,0,2,1
163,97,0,2,1
164,97,0,2,1
165,97,0,2,1
166,97,0,2,1
167,97,0,2,1
168,97,0,2,1
169,97,0,2,1
170,97,0,2,1
171,97,0,2,1
172,97,0,2,1
173,97,0,2,1
174,97,0,2,1
175,97,0,2,1
176,97,0,2,1
177,97,0,2,1
178,97,0,2,1
179,97,0,2,1
