Time,Healthy,Infected,Recovered,Dead
0,98,2,0,0
1,98,2,0,0
2,98,2,0,0
3,98,2,0,0
4,98,2,0,0
5,98,2,0,0
6,98,2,0,0
7,98,2,0,0
8,98,2,0,0
9,98,2,0,0
10,98,2,0,0
11,98,2,0,0
12,98,2,0,0
13,98,2,0,0
14,98,2,0,0
15,98,2,0,0
16,98,2,0,0
17,98,2,0,0
18,98,2,0,0
19,98,2,0,0
20,98,2,0,0
21,98,2,0,0
22,98,2,0,0
23,98,2,0,0
24,98,2,0,0
25,98,2,0,0
26,98,2,0,0
27,98,2,0,0
28,98,2,0,0
29,98,2,0,0
30,98,2,0,0
31,98,2,0,0
32,98,2,0,0
33,98,2,0,0
34,98,2,0,0
35,98,2,0,0
36,98,2,0,0
37,98,2,0,0
38,98,2,0,0
39,98,2,0,0
40,98,2,0,0
41,98,2,0,0
42,98,2,0,0
43,98,2,0,0
44,98,2,0,0
45,98,2,0,0
46,98,2,0,0
47,98,2,0,0
48,98,2,0,0
49,98,2,0,0
50,98,2,0,0
51,98,2,0,0
52,98,2,0,0
53,98,2,0,0
54,98,2,0,0
55,98,2,0,0
56,98,2,0,0
57,98,2,0,0
58,98,2,0,0
59,98,2,0,0
60,98,2,0,0
61,98,2,0,0
62,98,2,0,0
63,98,2,0,0
64,98,2,0,0
65,98,2,0,0
66,98,2,0,0
67,98,2,0,0
68,98,2,0,0
69,98,2,0,0
70,98,2,0,0
71,98,2,0,0
72,98,2,0,0
73,98,2,0,0
74,98,2,0,0
75,98,2,0,0
76,98,2,0,0
77,98,2,0,0
78,98,2,0,0
79,98,2,0,0
80,98,2,0,0
81,98,2,0,0
82,98,2,0,0
83,98,2,0,0
84,98,2,0,0
85,98,2,0,0
86,98,2,0,0
87,98,2,0,0
88,98,2,0,0
89,98,2,0,0
